question,answer
What is the course number and name for the AI and HCI class?,MSAI631 - A01 Artificial Intelligence for Human-Computer Interaction
Who is the instructor for the course?,Alan L Dennis
What is the format of the course?,Online
What is the CRN for the course?,2024-SUMMER-1BT-MSAI-631-A01
When is the class time and location?,Online
What is the email address of the instructor?,alan.dennis@ucumberlands.edu
What is the phone number for the instructor?,7402499151
Where is the instructor's office located?,Remote
How can students schedule an appointment with the instructor?,By appointment
What is the URL for the UC directory of the instructor?,https://www.ucumberlands.edu/directory/dr-alan-l-dennis
What is the course description?,"This course examines the convergence of AI and HCI and how they have revolutionized the ways we interact with machines and systems. The class emphasizes the symbiotic relationship between AI and HCI, equipping students with the knowledge and skills to design, develop, and optimize intelligent interactive systems."
What will students comprehend upon completion of the course?,"Foundational concepts of AI and HCI and how their integration shapes modern interactive systems, user experiences, and digital interfaces."
What design principles will students learn to apply in the course?,"User-centered design principles, usability heuristics, and accessibility guidelines."
What machine learning techniques will students demonstrate proficiency in?,"Pattern recognition, classification, and clustering."
What kind of AI-powered interfaces will students learn to create?,"Natural language interfaces such as conversational agents, chatbots, and voice-driven applications."
What ethical challenges related to AI-powered interfaces will students identify?,"Bias, privacy, transparency, and accountability."
What kind of practical experience will students gain?,"Designing, prototyping, and evaluating AI-driven interactive systems through hands-on projects."
What are some key learner outcomes of the course?,"Analyze AI and HCI interactions, evaluate user-centric design principles, create usability heuristics, apply NLP concepts, and create an intelligent chatbot."
What are the required books for the course?,"""Human-Centered AI"" by Ben Shneiderman."
What is the ISBN for the required book?,9780192845290
Who is the publisher of the required book?,Oxford University Press
When was the required book published?,"January 1, 2022"
What is the URL for accessing course materials?,http://www.ucumberlands.edu/ilearn/ or https://ucumberlands.blackboard.com/
What is the academic dishonesty policy?,"Academic dishonesty includes cheating, lying, plagiarism, and multiple submissions. Penalties can include a failing grade, suspension, expulsion, or revocation of a degree."
What is considered cheating under the academic dishonesty policy?,"Using deception in tests or preparation of work, using unauthorized materials, copying work, or assisting others in such activities."
What constitutes lying under the academic dishonesty policy?,"Falsifying, fabricating, or forging information in written or spoken presentations."
How is plagiarism defined in the academic dishonesty policy?,"Using the published writings, data, interpretations, or ideas of another without proper documentation."
What is multiple submissions under the academic dishonesty policy?,Submitting the same academic work for which credit was previously received without approval from the instructor.
What happens if a student commits academic dishonesty?,"The potential penalty includes a failing grade on the assignment, a failing grade for the entire course, suspension or expulsion, or revocation of a degree."
What is the attendance policy?,Course enrollment and participation are monitored during the first two weeks. Active participation and completing coursework each week are essential for success.
What is the participation policy?,"Students are expected to actively participate in discussions, assignments, and other activities."
What will happen if students do not participate in the first two weeks?,Lack of participation during this time may jeopardize enrollment status.
What kind of activities require student participation?,"Discussion board activities, synchronous sessions, forums, and shared papers."
How are course evaluations conducted?,"The course evaluation will be open during the last two weeks of the term, accessible via https://uofcumberlands.campuslabs.com/eval-home/ with UC credentials."
Is course evaluation anonymous?,"Yes, the evaluations are confidential and anonymous."
When can faculty see the results of the course evaluations?,After final grades are submitted.
What are disability accommodations?,"University of the Cumberlands accepts students with certified disabilities and provides reasonable accommodations in the classroom, housing, food service, or other areas."
How can students request disability accommodations?,Submit a completed Accommodations Application form and provide documentation of the disability to the Disability Services Coordinator.
Who is the Disability Services Coordinator?,Shirley Stephens
Where is the Disability Services Coordinator's office located?,"Gatliff Administration Building, Room 114"
What is the email address for accommodations inquiries?,accommodations@ucumberlands.edu
What is the process for challenging a grade?,"Discuss with the instructor and department chair. If unresolved, file a formal written appeal with the Vice President for Academic Affairs."
What is the time frame for filing a grade appeal?,Within four weeks after the last day of class for the semester in which the course occurred.
Who reviews the formal written appeal for a grade challenge?,The Academic Appeals Committee
What will the Academic Appeals Committee do?,Gather information from the instructor and other relevant parties and deliver a recommendation to the Vice President for Academic Affairs.
When will the final decision on a grade appeal be communicated?,No later than the last day of classes of the term in which the complaint was filed.
What are students' responsibilities in terms of email communication?,"Use University of the Cumberlands email system for all academic, administrative, and co-curricular communication."
How often should students check their email and class announcements?,Daily
What should students do if they miss a class?,Find out class assignments and make up missed work.
What is required for written work to be evaluated?,It must be presented in a professional manner.
What happens if written work is not presented professionally?,It will not be evaluated and will be returned as unacceptable.
What are some elements of craft in writing?,"Spelling, grammar, punctuation, and diction (word usage)."
How will work that does not exhibit care with regard to writing elements be graded?,It will be considered inadequate for college writing and graded accordingly.
When should students take examinations?,On the designated dates.
What should students do if they cannot take an exam on the scheduled date?,Make arrangements with the professor before the designated date.
What are the consequences of missing an exam without a legitimate reason?,"The professor will determine the legitimacy of the reason, and the student may face penalties."
What is the policy on late assignments?,Late assignments are not accepted.
What time zone do all course deadlines follow?,Eastern Standard Time (EST)
What is the importance of time management and organizational skills in the course?,"Recognizing that a large part of professional life is meeting deadlines, developing these skills is essential."
What are students expected to do with assigned reading material?,Review and prepare responses to homework assigned.
How should students participate in activities and assignments?,"Actively and in a supportive, constructive manner."
What kind of assignments and exams are there in the course?,"Specific assignments, discussions, and exams, completed professionally."
What technologies should students utilize for class assignments?,Learned technologies relevant to the course content.
What is the Practical Connection Assignment?,A written assignment where students reflect on course concepts and their practical connection to a working environment.
How are group projects structured in the course?,Students are randomly grouped in iLearn and submit their research project as a group.
How are course activities and experiences evaluated?,"Through active participation, timely completion of assignments, and engaging in discussions."
Where can students find links to support resources?,"UC Academic Catalog, UC Student Handbook, Academic Resources & Writing Center, Library, Bookstore, and About University of the Cumberlands websites."
What is the link to the UC Academic Catalog?,https://www.ucumberlands.edu/academics/academic-catalog
What is the link to the UC Student Handbook?,https://www.ucumberlands.edu/student-handbook
Where can students access the Academic Resources & Writing Center?,www.ucumberlands.edu/learningcommons
What is the link to the UC Library?,http://www.ucumberlands.edu/library/
Where can students find the UC Bookstore?,https://cumber.bncollege.com/shop/cumberlands/home
What is the link to the President's Welcome at University of the Cumberlands?,https://www.ucumberlands.edu/about/presidents-welcome
What are the instructions for accessing Office 365 Pro Plus?,Visit https://helpdesk.ucumberlands.edu/support/solutions/articles/7000045435
How can students share course concerns with program administration?,Use the Student Course Concern Early Detection Form.
What issues can be reported using the Early Detection Form?,"Delayed grading beyond 7 days, faculty not responding to emails (no response in over 36 hours), or folders/content unavailable."
Who can students contact if they are uncomfortable completing the Early Detection Form?,Their student success coordinator or academicaffairs@ucumberlands.edu
What types of exams are there in the course?,"Multiple-choice, multiple answers, matching, and True/False questions."
Where are exams available?,Through iLearn
How should exams be completed?,Independently
What types of quizzes will be given?,"Multiple-choice/answer, short answer questions, matching, and True/False questions."
What will assignments and discussions be based on?,"Course lectures, materials, and required reading assignments."
What is the total point value for discussions?,20 points
How many project reports are required?,6 project reports
